	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0	0	0	0	0	0	1
2	B	1	2	0	0	0	0	0	0	1
3	C	1	2	0	0	0	0	0	0	1
4	D	1	2	0	0	0	1	0	0	1
5	E	1	2	0	0	0	0	0	0	1
6	F	1	2	0	0	0	0	0	0	1
7	G	1	2	0	0	0	1	0	0	1
8	abnorm	1	1.a	0	0	0	1	1	0	0
9	absorbere	1	1.a	0	3	0	1	1	1	1
10	abstrakt	1	1.a	0.14226901531219482	1	0	1	1	0	1
11	accept	1	1.a	0	0	1	1	1	0	0
12	acceptere	1	1.a	0.3872717618942261	3	2	7	1	0	0
13	acceptere	1	1.b	0.4320836067199707	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.24011731147766113	1	1	9	1	0	0
15	adgang	1	1.a	0.028296470642089844	0	0	4	1	1	1
16	adskillelse	1	1.a	0.14182156324386597	0	1	3	1	0	0
17	adskillelse	1	2	0.6245464980602264	0	1	5	0	0	1
18	adskillelse	1.a	2	0.7246026992797852	0	1	2	0	0	1
19	advare	1	2	0.21151918172836304	2	1	1	0	0	0
20	advare	1	2.a	0.39309221506118774	2	1	10	0	0	0
21	advare	2	2.a	0.22298270463943481	3	1	9	1	0	0
22	advarsel	1	1.a	0.2760189175605774	0	0	7	1	0	0
23	advarsel	1	1.b	0.14760607481002808	0	0	4	1	0	0
24	advarsel	1	1.c	0	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.39781051874160767	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.2760189175605774	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.14760607481002808	0	0	4	1	0	0
28	afbryde	1	1.a	0.4051637649536133	1	0	5	1	0	0
29	afbryde	1	2	0.2803083658218384	1	2	6	0	0	1
30	afbryde	1.a	2	0.221943199634552	2	0	1	0	0	1
31	afdeling	1	4	0.23582357168197632	1	0	11	0	0	1
32	affære	1	1.a	0.024986445903778076	3	0	3	1	0	0
33	affære	1	2	0.023297131061553955	1	0	0	0	0	1
34	affære	1.a	2	0.023652076721191406	1	0	3	0	0	1
35	afgift	1	2	0.24386465549468994	3	0	23	0	0	0
36	afgift	1	2.a	0.27181559801101685	3	0	20	0	0	0
37	afgift	1	3	0.24386465549468994	3	0	23	0	0	0
38	afgift	1	4	0.24398726224899292	3	0	22	0	0	0
39	afgift	2	2.a	0.07088631391525269	3	0	3	1	0	0
40	afgift	2	3	0	3	0	0	0	0	0
41	afgift	2	4	0.03991281986236572	3	0	1	0	0	0
42	afgift	2.a	3	0.07088631391525269	3	0	3	0	0	0
43	afgift	2.a	4	0.07757139205932617	3	0	2	0	0	0
44	afgift	3	4	0.03991281986236572	3	0	1	0	0	0
45	afgrøde	1	1.a	0	3	0	1	1	0	0
46	afgøre	1	1.a	0.18489307165145874	3	1	4	1	0	0
47	afgøre	1	2	0.4423113465309143	0	0	14	0	0	1
48	afgøre	1	3	0.5243519246578217	0	0	1	0	0	0
49	afgøre	1.a	2	0.37914377450942993	0	0	18	0	0	1
50	afgøre	1.a	3	0.49023187160491943	0	0	3	0	0	0
51	afgøre	2	3	0.5013946890830994	0	0	15	0	0	1
52	afgørelse	1	1.a	0.04640960693359375	4	0	8	1	0	0
53	afgørelse	1	2	0	4	0	0	0	0	1
54	afgørelse	1.a	2	0.04640960693359375	4	0	8	0	0	1
55	afhængig	1	1.a	0.3903798460960388	1	0	4	1	0	0
56	afhængig	1	2	0.21790266036987305	0	0	8	0	0	1
57	afhængig	1.a	2	0.4400720000267029	0	0	4	0	0	1
58	afkorte	1	1.a	0	0	0	1	1	0	1
59	aflejring	1	2	0.29804086685180664	0	0	5	0	0	1
60	aflytning	1	2	0	0	0	0	0	0	0
61	afløb	1	1.a	0	1	0	3	1	0	0
62	afløb	1	2.a	0.6504791378974915	0	0	5	0	1	1
63	afløb	1.a	2.a	0.6504791378974915	0	0	2	0	1	1
64	afpresse	1	1.a	0	2	0	1	1	0	0
65	afsked	1	2	0.2517767548561096	0	0	4	0	0	1
66	afskærmning	1	1.a	0	0	0	0	1	0	1
67	afslutning	1	2	0.3825826048851013	0	0	13	0	0	1
68	afslutning	1	2.a	0.3618655800819397	0	0	19	0	0	0
69	afslutning	1	2.b	0.3618655800819397	1	0	21	0	0	1
70	afslutning	2	2.a	0.10136401653289795	0	0	6	1	0	1
71	afslutning	2	2.b	0.10136401653289795	0	0	8	1	0	1
72	afslutning	2.a	2.b	0	0	0	2	1	0	1
73	afstand	1	1.b	0.24567890167236328	1	0	17	1	1	1
74	afstemning	1	2	0.0981246829032898	0	0	6	0	0	1
75	aftale	1	1.a	0.1373613476753235	4	0	1	1	0	0
76	aftale	1	1.b	0.08761972188949585	2	0	5	1	0	1
77	aftale	1.a	1.b	0.09722530841827393	2	0	4	1	0	1
78	aftale	1	1.a	0	2	0	2	1	0	0
79	afvise	1	1.a	0.3048146367073059	2	1	9	1	0	0
80	afvise	1	2	0.4857906103134155	3	0	14	0	0	1
81	afvise	1	2.a	0.34888947010040283	0	1	8	0	1	1
82	afvise	1	2.b	0.3336178660392761	0	0	15	0	0	1
83	afvise	1.a	2	0.2972226142883301	2	0	5	0	0	1
84	afvise	1.a	2.a	0.35239726305007935	0	1	1	0	1	1
85	afvise	1.a	2.b	0.07588887214660645	0	0	6	0	0	1
86	afvise	2	2.a	0.33055007457733154	0	0	6	1	1	0
87	afvise	2	2.b	0.2675868272781372	0	0	1	1	0	0
88	afvise	2.a	2.b	0.34574562311172485	0	0	7	1	1	0
89	afvisning	1	1.a	0.028142869472503662	0	0	4	1	0	0
90	afvisning	1	2	0.27178454399108887	0	0	2	0	0	1
91	afvisning	1	2.a	0.028142869472503662	0	0	3	0	1	1
92	afvisning	1.a	2	0.2074609398841858	0	0	2	0	0	1
93	afvisning	1.a	2.a	0	0	0	1	0	1	1
94	afvisning	2	2.a	0.2074609398841858	0	0	1	1	1	0
95	agent	1	2	0.04650592803955078	3	0	1	0	0	1
96	agent	1	2.a	0.04650592803955078	3	0	2	0	0	1
97	agent	1	2.b	0.04650592803955078	3	0	3	0	0	1
98	agent	1	4	0.04650592803955078	0	0	1	0	0	1
99	agent	2	2.a	0	3	0	1	1	0	0
100	agent	2	2.b	0	3	0	2	1	0	0
101	agent	2	4	0	0	0	0	0	0	1
102	agent	2.a	2.b	0	3	0	1	1	0	0
103	agent	2.a	4	0	0	0	1	0	0	1
104	agent	2.b	4	0	0	0	2	0	0	1
105	aggressiv	1	1.a	0.14478766918182373	0	0	0	1	0	0
106	agt	1	2	0	1	0	1	0	0	1
