	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5114268064498901	0	0	0	0	0	1
2	B	1	2	0.5597073137760162	0	0	0	0	0	1
3	C	1	2	0.611882895231247	0	0	0	0	0	1
4	D	1	2	0.63652703166008	0	0	1	0	0	1
5	E	1	2	0.6528812646865845	0	0	0	0	0	1
6	F	1	2	0.5765785574913025	0	0	0	0	0	1
7	G	1	2	0.7276471853256226	0	0	1	0	0	1
8	abnorm	1	1.a	0.6389546394348145	0	0	1	1	0	0
9	absorbere	1	1.a	0.5616328716278076	3	0	1	1	1	1
10	abstrakt	1	1.a	0.4279934763908386	1	0	1	1	0	1
11	accept	1	1.a	0.47309964895248413	0	1	1	1	0	0
12	acceptere	1	1.a	0.5328544974327087	3	2	7	1	0	0
13	acceptere	1	1.b	0.27129125595092773	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.6272470653057098	1	1	9	1	0	0
15	adgang	1	1.a	0.2910114526748657	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6524026393890381	0	1	3	1	0	0
17	adskillelse	1	2	0.5645501613616943	0	1	5	0	0	1
18	adskillelse	1.a	2	0.5956562757492065	0	1	2	0	0	1
19	advare	1	2	0.3703409433364868	2	1	1	0	0	0
20	advare	1	2.a	0.31275033950805664	2	1	10	0	0	0
21	advare	2	2.a	0.30643606185913086	3	1	9	1	0	0
22	advarsel	1	1.a	0.4974854588508606	0	0	7	1	0	0
23	advarsel	1	1.b	0.39599597454071045	0	0	4	1	0	0
24	advarsel	1	1.c	0.5245577692985535	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.40614622831344604	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.447934091091156	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.2952386140823364	0	0	4	1	0	0
28	afbryde	1	1.a	0.4708423614501953	1	0	5	1	0	0
29	afbryde	1	2	0.452232301235199	1	2	6	0	0	1
30	afbryde	1.a	2	0.5165470838546753	2	0	1	0	0	1
31	afdeling	1	4	0.5928076803684235	1	0	11	0	0	1
32	affære	1	1.a	0.43713903427124023	3	0	3	1	0	0
33	affære	1	2	0.5993200242519379	1	0	0	0	0	1
34	affære	1.a	2	0.6088533103466034	1	0	3	0	0	1
35	afgift	1	2	0.287092387676239	3	0	23	0	0	0
36	afgift	1	2.a	0.16673344373703003	3	0	20	0	0	0
37	afgift	1	3	0.2993727922439575	3	0	23	0	0	0
38	afgift	1	4	0.371074378490448	3	0	22	0	0	0
39	afgift	2	2.a	0.29084038734436035	3	0	3	1	0	0
40	afgift	2	3	0.25500065088272095	3	0	0	0	0	0
41	afgift	2	4	0.3123008608818054	3	0	1	0	0	0
42	afgift	2.a	3	0.27851223945617676	3	0	3	0	0	0
43	afgift	2.a	4	0.36779993772506714	3	0	2	0	0	0
44	afgift	3	4	0.37319016456604004	3	0	1	0	0	0
45	afgrøde	1	1.a	0.48028701543807983	3	0	1	1	0	0
46	afgøre	1	1.a	0.22527068853378296	3	1	4	1	0	0
47	afgøre	1	2	0.48089808225631714	0	0	14	0	0	1
48	afgøre	1	3	0.5024054050445557	0	0	1	0	0	0
49	afgøre	1.a	2	0.5487298667430878	0	0	18	0	0	1
50	afgøre	1.a	3	0.42040252685546875	0	0	3	0	0	0
51	afgøre	2	3	0.714544028043747	0	0	15	0	0	1
52	afgørelse	1	1.a	0.34044337272644043	4	0	8	1	0	0
53	afgørelse	1	2	0.3993087410926819	4	0	0	0	0	1
54	afgørelse	1.a	2	0.33970361948013306	4	0	8	0	0	1
55	afhængig	1	1.a	0.42904430627822876	1	0	4	1	0	0
56	afhængig	1	2	0.45760577917099	0	0	8	0	0	1
57	afhængig	1.a	2	0.501378983259201	0	0	4	0	0	1
58	afkorte	1	1.a	0.5666618645191193	0	0	1	1	0	1
59	aflejring	1	2	0.4994417428970337	0	0	5	0	0	1
60	aflytning	1	2	0.5940897166728973	0	0	0	0	0	0
61	afløb	1	1.a	0.39412492513656616	1	0	3	1	0	0
62	afløb	1	2.a	0.4944007396697998	0	0	5	0	1	1
63	afløb	1.a	2.a	0.414232075214386	0	0	2	0	1	1
64	afpresse	1	1.a	0.5246492028236389	2	0	1	1	0	0
65	afsked	1	2	0.6231723129749298	0	0	4	0	0	1
66	afskærmning	1	1.a	0.8255463689565659	0	0	0	1	0	1
67	afslutning	1	2	0.44460105895996094	0	0	13	0	0	1
68	afslutning	1	2.a	0.6470760703086853	0	0	19	0	0	0
69	afslutning	1	2.b	0.4359060525894165	1	0	21	0	0	1
70	afslutning	2	2.a	0.43307727575302124	0	0	6	1	0	1
71	afslutning	2	2.b	0.30650514364242554	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.5845527052879333	0	0	2	1	0	1
73	afstand	1	1.b	0.4722074270248413	1	0	17	1	1	1
74	afstemning	1	2	0.5356427133083344	0	0	6	0	0	1
75	aftale	1	1.a	0.25673890113830566	4	0	1	1	0	0
76	aftale	1	1.b	0.43520140647888184	2	0	5	1	0	1
77	aftale	1.a	1.b	0.4391236901283264	2	0	4	1	0	1
78	aftale	1	1.a	0.561966061592102	2	0	2	1	0	0
79	afvise	1	1.a	0.5011205077171326	2	1	9	1	0	0
80	afvise	1	2	0.6027431190013885	3	0	14	0	0	1
81	afvise	1	2.a	0.5168801844120026	0	1	8	0	1	1
82	afvise	1	2.b	0.44336217641830444	0	0	15	0	0	1
